,stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes
1292,George Coulouris,1933-1980,Coulouris,George,M,1903,1989,R:explosive roles,\Br,,
1293,Carolyn Courage,,,,F,[1],199x,RU:,\Un,,|
1294,Hazel Court,1944-1964,Court,Hazel,F,1926,199x,R:scary beauty,\Br,[34.153],Ww(Hitchcock)
1295,Tom Courtenay,1963-1983,Courtenay,Tom,M,1937,199x,R:under-privleged roles,\Br,,
1296,Cicely Courtneige,1931-1941,Courtneige,Dame Cicely,F,19aa,199x,R:sr,\Ct,,
1297,Maggie CousineauArndt,,,,F,[1],199x,RU:,\Un,,|
1298,Jerome Cowan,1941-1969,Cowan,Jerome,M,1897,1972,R:easy manner,\Am,,
1299,Herbert `Cowboy' Coward,,,,M,[1],199x,RU:,\Un,,|
1300,Noel Coward,1918-1969,Coward,Sir Noel,M,1899,1973,R:bright,\Br,,"Also(w,d,c)"
1301,Ronny Cox,1972-1974,Cox,Ronny,M,1938,199x,R:character,\Am,,
1302,Ruth Cox,,,,F,[1],199x,RU:,\Un,,|
1303,Wally Cox,1952-1968,Cox,Wally,M,1924,1973,"R:bespectacled, weedy",\Am,,
1304,Peter Coyote,,,,M,[1],199x,RU:,\Un,,|
1305,Buster Crabbe,1933-1955,Crabbe,Clarence Linden,M,1907,1983,R:lead,\Am,,
1306,Donald Crabtree,,,,M,[1],199x,RU:,\Un,[4.38],Cit(0)
1307,James Craig,1937-1967,Meador,John,M,1912,199x,R:good-natured tough outdoor type,\Am,,
1308,Michael Craig,1953-1977,Gregson,Michael,M,1928,199x,R:light lead,\Br,,
1309,Wendy Craig,1963-1977,Craig,Wendy,F,1934,199x,R:comedy,\Br,,
1310,Jack Crain,,,,M,[1],199x,RU:,\Un,,Cit(1)
1311,Jeanne Crain,1943-1972,Crain,Jeanne,F,1925,199x,R:sweet and light,\Am,,
1312,Grant Cramer,,,,M,[1],199x,RU:,\Un,,Cit(1)
1313,Norma Crane,,,,F,[1],199x,R:floozy,\Un,,Cit(4)
1314,Nick Cravat,1951-1977,Cravat,Nick,M,1911,199x,"R:small, agile",\Am,,
1315,Frank Craven,1928-1945,Craven,Frank,M,1875,1945,R:kindly pope-smoking philosopher,\Am,,
1316,Gemma Craven,1976-1979,Craven,Gemma,F,1950,199x,R:lead,\Ir,,
1317,Andrew Crawford,1946-1961,Crawford,Andrew,M,1917,199x,R:character,\Br(Sc),|,
1318,Broderick Crawford,1937-1970,Crawford,Broderick,M,1910,1986,R:character,\Am,[4.108],
1319,Joan Crawford,1925-1969,leSueur,Lucille,F,1906,1977,"R:flapper, career girl, repressed older woman",\Am,[4.680],"St(MGM) Mt(Franchot Tone,) Lw(Clark Gable@{Possessed}) Aw(AFI#10)"
1320,John Crawford,1950-1964,Crawford,John,Mm,,199x,R:forgettable,\Am,,
1321,Michael Crawford,1950-1979,Crawford,Michael,M,1942,199x,R:lively,\Br,,
1322,Laird Cregar,1940-1940,Cregar,Laird,M,1916,1944,R:heavyweight,\Am,,Ph(6'3'' 210lbs)
1323,Plett Creighton,,,,M,[1],199x,RU:,\Un,,Cit(1)
1324,Jack Creley,,,,M,[1],199x,RU:,\Un,,Cit(1)
1325,Richard Crenna,1952-1983,Crenna,Richard,M,1926,199x,R:lead,\Am,,
1326,Robert Crenna,,,,M,[1],199x,RU:,\Un,,Cit(1) Er(Richard)
1327,Laura Hope Crews,1929-1941,Crews,Laura Hope,F,1880,1942,R:character,\Am,,
1328,Bernard Cribbins,1960-1978,Cribbins,Bernard,M,1928,199x,R:comedy character,\Un,[4.1087],Ww(Hitchcock)
1329,Michael Crichton,WAD,MiC,y1973-1981,Crichton,Michael,,R:\UN,\Br,,Ph(6'9'')
1330,Lou Crisoula,,,,M,[1],199x,RU:,\Un,,Cit(1)
1331,Donald Crisp,1914-1963,Crisp,Donald,M,1880,1974,R:stern character,\Br,,
1332,Linda Cristal,1956-1971,Maya,Victoria,F,1936,199x,R:lead,\Ar(gentina),|,
1333,Barry Crocker,1969-1974,Crocker,Barry,M,,199x,R:lead,\Au,,
1334,Dick Crockett,,,,M,[1],199x,RU:,\Un,,Cit(1)
1335,Richard Cromwell,1930-1942,Radebaugh,Roy,M,1910,1960,R:gentle hero,\Am,[4.609],
1336,Hume Cronyn,1943-1981,Blake,Hume,M,1911,199x,R:character,\Ca,,Mt(Jessica Tandy) Ww(Hitchcock) Also(W)
1337,Bing Crosby,1930-1970,Crosby,Harry Lillis,M,1904,1977,R:crooner,\Am,,"Mt(Duxie Lee, Kathryn Grant)"
1338,Cathy Lee Crosby,,,,F,[1],199x,RU:,\Un,,Cit(2)
1339,Harry Crosby,1980,Crosby,Harry,M,[1],199x,RU:,\Un,,
1340,Kim Crosby,1989,,,F,[1],199x,R:roundfaced,\Un,,Cit(0)
1341,Lindsay Crosby,,,,M,1938[1],199x,RU:,\Un,,"Ch(Bing Crosby, Dixie Lee)"
1342,Mary Crosby,,,,F,[1],199x,RU:,\Un,\Un,
1343,Henrietta Crosman,1914-1937,Crosman,Henrietta,F,1861,1944,RU:,\Am,,
1344,Ben Cross,1981-1991,Cross,Ben,M,1948,199x,R:lugubrious countenance,\Br,,
1345,Rupert Crosse,1968-1968,Crosse,Rupert,M,1927,1973,RU:,\Am,,
1346,Scatman Crothers,1956-1983,Crothers,Scatman,M,,1986,R:comedy,\Am,,
1347,Lindsay Crouse,1990,,,F,[1],199x,R:capable,\Am,,
1348,Pat Crowley,1953-1975,Crowley,Pat,F,1929,199x,R:lead,\Am,,
1349,Andrew Cruickshank,1937-1966,Cruickshank,Andrew,M,1907,1988,R:doctor or judge,\Br(Sc),|,
1350,Tom Cruise,1981-1989,Mapother,Tom Cruise IV,M,1961,199x,R:hero,\Am,"[4.205,784]","Mt(Mimi Rogers, Nicole Kidman)"
1351,Rosalie Crutchley,1947-1972,Crutchley,Rosalie,F,1921,199x,R:lean-featured,\Br,,
1352,James Cruze,1911-1918,Bosen,Jens Cruz,M,1884,1942,R:silent screen,\Da-\Am,,
1353,Billy Crystal,1977-1992,Crystal,Billy,M,1948,199x,R:likable,\Am,,Also(D)
1354,Riccardo Cucciola,1965-1971,Cucciola,Riccardo,M,1932,199x,R:lead,\It,,
1355,Macaulay Culkin,1989-1993,Culkin,Macaulay,M,1980,199x,R:imaginative child,\Am,,Ch(Si(Bonnie Bedelia))
1356,Kieran Culkin,1993,Culkin,Kieran,M,1982,199x,R:child,\Am,,Si(Macaulay Culkin)
1357,John Cullum,,,,M,[1],199x,RU:,\Un,\Un,
1358,Robert Culp,1962-1982,Culp,Robert,M,1930,199x,R:lead,\Am,,
1359,Roland Culver,1932-1978,Culver,Roland,M,1900,1984,"R:impeccable, comic",\Br,,
1360,Dorothy Cumming,1927-1927,Cors.,Ruth Cumming,F,[1],199x,"R:solid, Spanish",\Am,,"Er(Cumming, sp bn, gn) Cit(2)"
1361,Constance Cummings,1931-1963,Halverstadt,Constance,M,1910,199x,RU:,\Am,,
1362,Bob Cummings,1935-1973,Cummings,Robert,M,1908,1990,R:boyish,\Am,[37.326],Ww(Hitchcock)
1363,Quinn Cummings,1980,,,M,[1],199x,RU:,\Un,,Cit(1)
1364,Susan Cummings,1955,,,F,[1],199x,RU:,\Un,,Cit(1)
1365,Peggy Cummins,1948,,,F,[1],199x,RU:,\Un,,Cit(1)
1366,Cecil Cunningham,1929-1948,Cunningham,Cecil,F,1888,1959,R:hard or wisecracking,\Am,,
1367,John Cunningham,,,,M,[1],199x,RU:,\Un,,Cit(1)
1368,Alain Cuny,1942-1980,Cuny,Alain,M,1908,1994,"R:tall, imposing",\Fr,,
1369,Lee Curreri,,,,,[1],199x,RU:,\Un,,Cit(1)
1370,Finlay Currie,1932-1965,Jefferson,Finlay,M,1878,1968,RU:,\Br(Sc),\Un,[4.709]
1371,Michael Currie,,,,M,[1],199x,RU:,\Un,,Cit(1)
1372,Sondra Currie,,,,F,[1],199x,RU:,\Un,,Cit(1)
1373,Steve Curry,,,,M,[1],199x,RU:,\Un,,|
1374,Tim Curry,1974-1983,Curry,Tim,M,1946,199x,R:wide-range,\Br,,
1375,Jane Curtin,,,,F,[1],199x,RU:,\Un,,Cit(1)
1376,Valerie Curtin,,,,F,[1],199x,RU:,\Un,,Cit(1)
1377,Alan Curtis,1936-1950,Curtis,Alan,M,1909,1953,R:lead,\Am,,
1378,Jamie Lee Curtis,1978-1988,Curtis,Jamie Lee,F,1958,199x,RU:,\Am,,"Ch(Tony Curtis, Janet Leigh) Mt(Chris Prendergast)"
1379,Kelly Curtis,1990,Curtis,Kelly,F,,199x,R:lesbian,Am,,
1380,Ken Curtis,1945-1976,Curtis,Ken,M,1916,199x,R:character,\Am,,
1381,Tony Curtis,1949-1978,Schwarz,Bernard,M,1925,199x,"R:bouncy, lead",\Am,,Pa(Kelly Curtis)
1382,George Curzon,1932-1958,Curzon,George,M,1896,1976,"R:aristocratic, sinister roles",\Br,,
1383,Cyril Cusack,1947-1981,Cusack,Cyril,M,1910,199x,R:dimimutive,\Ir,,
1384,Peter Cushing,1939-1983,Cushing,Peter,M,1913,1994,R:monster roles,\Br,,
1385,Allan Cuthbertson,1955-1983,Cuthbertson,Allan,M,1920,1988,R:supercilious roles,\Au,,
1386,Zbigniew Cybulski,1954-1965,Cybulski,Zbigniew,M,1927,1967,R:lead,\Po,,
1387,Maryam DAbo,1982-1987,D'Abo,Maryam,F,[1],199x,RU:,\Un,,|
1388,Olivia DAbo,1984-1994,D'Abo,Olivia,F,1970,199x,RU:,Si(Si(Maryam dAbo)),,
1389,Willem Dafoe,1985-1990,Dafoe,Willem,M,[1],199x,RU:,\Un,,
1390,Lil Dagover,1919,Dagover,gn,F,,1980,R:silent,\Ct,,
1391,Arlene Dahl,1947-1969,Dahl,Arlene,Ff,1924,199x,R:lead,\Ge,,
1392,Eva Dahlbeck,1952-1969,Dahlbeck,Eva,F,1920,199x,RU:,\Sw,,Nt(Mt? Ingmar Bergman; D)
1393,Dan Daily,1940-1973,Daily,Dan,M,1914,1978,R:lanky,\Am,,
1394,Elizabeth Daily,,,,F,[1],199x,RU:,\Un,,|
1395,Irene Daily,,,,F,[1],199x,RU:,\Un,,|
1396,Amy Dalby,1945-1967,Dalby,Amy,F,1888,1969,R:character,\Br,,
1397,Charles Dale,1931-1951,Marks,Charles,M,1881,199x,R:vaudevillain,\Am,,
1398,Jennifer Dale,,,,F,[1],199x,RU:,\Un,,|
1399,Jim Dale,1962-1979,Smith,James,M,1935,1985,"R:singer, comic",\Br,,Ww(Gerald Thomas)
1400,Marcel Dalio,1937-1965,Bleuschild,Marcel Benoit,M,1900,1983,R:comedy,\Fr,,
1401,John Dall,1945-1961,Dall,John,M,1918,1971,R:lead,\Am,,
1402,Beatrice Dalle,1988,Dalle,B\'eatrice,,,199x,R:steamy,\Fr,,Er(dow)
1403,Timothy Dalton,1968-1981,Dalton,Timothy,M,1944,199x,R:saturnine,\Br,,
1404,Roger Daltrey,1974-1980,Daltrey,Roger,M,1944,199x,R:dramatic,\Br,,
1405,James Daly,1955-1975,Daly,James,M,1918,1978,RU:,\Am,,
1406,Tyne Daly,1969-1982,Daly,Tyne,F,1947,199x,R:lead,\Am,,
1407,Mark Damon,1956,Doman,Mark,M,,199x,R:vengeful lead,\Am,,Ww(Hitchcock)
1408,Vic Damone,1951-1960,Farinola,Vito,M,1929,199x,R:light lead,\Am,,
1409,Claude Dampier,1935-1953,Cowan,Claude,M,1879,1955,"R:nasal drawl, country yokel",\Br,,
1410,Bill Dana,1977-1981,Dana,Bill,M,,199x,R:comedian,\Am,,
1411,Leona Dana,,,,F,,199x,RU:,\Un,,|
1412,Leora Dana,1957-1982,Dana,Leora,F,1923,1983,R:general purpose,\Am,,
1413,Mara Danaud,,,,F,[1],199x,RU:,\Un,,|
1414,Charles Dance,,,,M,[1],199x,RU:,\Un,,|
1415,Tom dAndrea,1947,d'Andrea,Tom,M,,199x,R:cabbie,,,
1416,Dorothy Dandridge,1937-1960,Dandridge,Dorothy,F,1923,1965,R:lead,\Am,,
1417,Karl Dane,1925-1930,Daen,Karl,M,1886,1934,"R:lanky, character",\Da,,
1418,Beverly D'Angelo,1978-1981,D'Angelo,Beverly,F,1854,199x,R:lead,\Am,,
1419,Mirella D'Angelo,,,,F,[1],199x,RU:,\Un,,|
1420,Rodney Dangerfield,,,,M,[1],199x,RU:,\Un,,|
1421,Henry Daniell,1929-1964,Daniell,Henry,M,1894,1963,"R:incisive, cold-eyed",\Br,[4.423],
1422,Suzanne Danielle,,,,F,[1],199x,RU:,\Un,,|
1423,Anthony Daniels,,,,M,[1],199x,RU:,\Un,,|
1424,Bebe Daniels,1919-1955,Daniels,Virginia,F,1901,1971,"R:silent, lead",\Am,,Mt(Ben Lyon)
1425,Jeff Daniels,,,,M,[1],199x,RU:,\Un,,|
1426,William Daniels,1949-1982,Daniels,William,M,1927,199x,R:dapper,\Am,,Nt(not same as C)
1427,Blythe Danner,1970-1983,Danner,Blythe,F,1945,199x,R:young,\Am,,
1428,Sybil Danning,,,,F,[1],199x,RU:,\Un,,|
1429,Royal Dano,1949-1983,Dano,Royal,M,1922,1944,"R:lanky cowboys, villains",\Am,,
1430,Ted Danson,1979-1989,Danson,Ted,M,1952,199x,"R:tall, craggy",\Am,,
1431,Michael Dante,1958-1977,Vitti,Ralph,M,1931,199x,R:villain,\Am,,
1432,Helmut Dantine,1941-1974,Dantine,Helmut,M,1917,1982,R:lean,\Os,,
1433,Ray Danton,1952-1974,Danton,Ray,M,1931,199x,R:lead,\Am,,
1434,Tony Danza,,,,,[1],199x,RU:,\Un,,|
1435,Patti D'Arbanville,,,,F,[1],199x,RU:,\Un,,|
1436,Kim Darby,1965-1979,Zenby,Deborah,F,1947,199x,R:lead,\Am,,
1437,Denise Darcel,1948-1962,Billecard,Denise,F,1925,199x,R:lead,\Am,,
1438,Alex D'Arcy,1928-1971,Sarruf,Alexander,M,1908,199x,R:light international,\Eg,,
1439,Ruth Dardick,,,,F,[1],199x,RU:,\Un,,|
1440,Frank Darien,,,,M,[1],199x,RU:,\Un,[4.420],
1441,Bobby Darin,1960-1969,Cassotto,Walden Robert,M,1936,1973,R:pop singer,\Am,,
1442,Linda Darnell,1939-1965,Darnell,Monetta Eloisa,F,1921,1965,R:beauty,\Am,,Lw(Zanuck)
1443,James Darren,1956-1964,Ercolani,James,M,1936,199x,R:lead,\Am,,
1444,Danielle Darrieux,1931-1979,Darrieux,Danielle,F,1917,199x,R:vivacious,\Fr,[9.12],
1445,Jane Darwell,1914-1964,Woodward,Patti,F,1880,1967,R:strong and warm mother,\Am,,
1446,Howard daSilva,1939-1981,Siverblatt,Harold,M,1909,1986,"R:tough, suspicious-looking",\Am,,
1447,Jules Dassin,1954-1960,Dassin,Jules,M,1911,199x,RU:,\Am,,Also(D) Er(org)
1448,Jean Daste,,,,,[1],199x,RU:,\Un,,|
1449,Claude Dauphin,1938-1976,Dauphin,Claude,M,1903,1978,R:dapper,\Fr,,
1450,Elyssa Davalos,,,,F,[1],199x,RU:,\Un,,|
1451,Doris Davenport,,,,F,[1],199x,RU:,\Un,,|
1452,Harry Davenport,1930-1950,Davenport,Harry,M,1866,1949,"R:chuclesome, benevolent old man",\Am,,
1453,Nigel Davenport,1959-1979,Davenport,Nigel,M,1928,199x,"R:breezy, virile",\Br,,
1454,Thayer David,1958-1978,David,Thayer,M,1926,1978,R:character,\Am,,
1455,Eileen Davidson,,,,F,[1],199x,RU:,\Un,,|
1456,John Davidson,1915-1963,Davidson,John,M,1886,1969,"R:piercing-eyed, white-haired villain",,,|
1457,William B. Davidson,1917-1947,Davidson,William B.,M,1888,1947,R:character,\Am,,
1458,John Howard Davies,1948-1951,Davies,John Howard,M,1939,199x,R:child,\Am,,
1459,Lolita Davidovitch,1989,Davidovich,Lolita,F,,199x,R:juicy,\Ca,,
1460,Marion Davies,1917-1937,Douras,Marion,F,1897,1961,R:lead,\Am,,Lw(Randolph Heart; pub)
1461,Rupert Davies,1958-1971,Davies,Rupert,M,1916,1976,R:character,\Br,,
1462,Bette Davis,1931-1983,Davis,Ruth Elizabeth,F,1908,1989,R:inimitably intense,\Am,"[4.23,137]","Mt(,,,Gary Merrill) Aw(AFI#2)"
1463,Brad Davis,1977-1981,Davis,Brad,M,1950,1991,R:lead,\Am,,
1464,Clifton Davis,,,,M,[1],199x,RU:,\Un,,|
1465,Geena Davis,1993,,,F,[1],199x,R:smart,\Am,,"Mt(,Jeff Goldblum,Renny Harlin)"
1466,Gene Davis,,,,M,[1],199x,RU:,\Un,,|
1467,Jim Davis,1942-1980,Davis,Jim,M,1915,1981,R:burly,\Am,,
1468,Joan Davis,1935-1956,Davis,Joan,F,1907,1961,R:rubber-faced,\Am,,
1469,Judy Davis,1979-1984,Davis,Judy,F,1956,199x,R:round-faced,\Au,,
1470,Larry Davis,,,,M,[1],199x,RU:,\Un,,|
1471,Lyndon Davis,,,,M,[1],199x,RU:,\Un,,|
1472,Mac Davis,,,,M,[1],199x,RU:,\Un,,|
1473,Miles Davis,,,,M,[1],199x,RU:,\Un,,|
1474,Nancy Davis,1950-1959,Robbins,Anne Frances,F,1956,199x,R:lead,\Am,,Ww(Ronald Reagan) Mt(Ronald Reagan)
1475,Ossie Davis,1950-1979,Davis,Ossie,M,1917,199x,R:massive presence,\Am,,
1476,Phyllis Davis,,,,F,[1],199x,RU:,\Un,,|
1477,Roger Davis,,,,M,[1],199x,RU:,\Un,,|
1478,Sammy Davis~jr.,1958-1882,Davis,Samuel,M,1925,1990,"R:energetic, `one-eyed Jewish Negro'",\Am,,"Mt(Mai Britt, Altovise) He(5'3"")"
1479,Sonny Carl Davis,,,,M,[1],199x,RU:,\Un,,|
1480,Bruce Davison,1969-1981,Davison,Bruce,M,1948,199x,R:slightly-built,\Am,,
1481,Marjorie Daw,,,,M,[1],199x,RU:,\Un,,|
1482,Marpessa Dawn,,,,F,[1],199x,RU:,\Un,,|
1483,Anthony Dawson,1945-1963,Dawson,Anthony,M,1916,199x,R:lean-faced,\Br,,
1484,Clayton Day,,,,M,[1],199x,RU:,\Un,,|
1485,Dennis Day,1951-1959,Day,Dennis,M,,1988,R:sr,\Ct,,
1486,Doris Day,1948-1968,Kappelhoff,Doris,F,1924,199x,R:wholesome,\Am,,Ww(Hitchcock)
1487,Frances Day,1927-1957,Day,Frances,F,1908,199x,R:revue star,\Ge(Ru),|,
1488,Josette Day,1932-1950,Day,Josette,F,1914,1978,R:lead,\Fr,,
1489,Laraine Day,1937-1978,Johnson,Laraine,F,1917,199x,R:lead,\Am,,Ww(Hitchcock)
1490,Lawrence Day,,,,M,[1],199x,RU:,\Un,,|
1491,Marceline Day,,,,F,[1],199x,RU:,\Un,,|
1492,Daniel DayLewis,1986-1989,Day-Lewis,Daniel,M,1957,199x,R:intense,\Ir,,"Ch(Cecil Day-Lewis; Poet Laureate,Jill Balcon) Lw(Isabelle Adjani, Sinead OConnor, Winona Ryder, Julia Roberts)"
1493,Brian Deacon,,,,M,[1],199x,RU:,\Un,,|
1494,Richard Deacon,1955-1978,Deacon,Richard,M,1923,199x,"R:bald, bespectacled, comic snoops",\Am,,
1495,Isabel Dean,1947-1982,Hodgkinson,Isabel,F,1918,199x,R:upper-class roles,\Br,,
1496,Jimmy Dean,1951-1956,Dean,James,M,1931,1955,R:moody,\Am,,Aw(AFI#18)
1497,Laura Dean,,,,F,[1],199x,RU:,\Un,,|
1498,Darcia Deane,,,,F,[1],199x,RU:,\Un,,|
1499,Maria DeAragon,,,,F,[1],199x,RU:,\Un,,|
1500,Brenda deBanzie,1942-1967,deBanzie,Brenda,F,1915,1981,R:lead,\Br,,Ww(Hitchcock)
1501,Kristine DeBell,,,,F,[1],199x,RU:,\Un,,|
1502,John DeBello,,,,M,[1],199x,RU:,\Un,,|
1503,Yvonne deBray,1943-1952,DeBray,Yvonne,F,1889,1954,R:character,\Am,,
1504,Nigel deBrulier,1916-1948,deBrulier,Nigel,M,1878,1948,R:silent star,\Br,,
1505,Rosemary de Camp,1941-1981,Camp,Rosemary,F,1913,199x,R:active motherly types,\Am,,
1506,Yvonne deCarlo,1945-1982,Middleton,Peggy,F,1922,199x,R:outrageous,\Ca,,
1507,Jeanne DeCasalis,1941-1948,Casalis,Jeanne,F,1896,1966,R:character,\Br,,
1508,Pedro DeCordoba,1915-1950,DeCordoba,Pedro,M,1881,1950,"R:lean, sinister",\Am,,
1509,Arturo deCordova,1943-1953,Garcia,Arturo,M,1908,1973,R:flashing impudent,\Me,[4.483],
1510,Ted DeCorsia,1947-1968,DeCorsia,Ted,M,1904,1973,R:surly villain,\Am,,
1511,Frances Dee,1931-1954,Dee,Jean,F,1908,199x,R:lead,\Am,,Ww(Maurice Chevalier) Mt(Joel McCrae)
1512,Ruby Dee,1950-1982,Dee,Ruby,F,1923,199x,R:black character,\Am,,
1513,Sandra Dee,1957-1977,Zuck,Alexandra,F,1942,199x,R:petite,\Am,,
1514,Ermelinda deFelice,,,,F,[1],199x,RU:,\Un,,|
1515,Eduardo DeFilippo,1932-1966,Passarelli,Eduardo,M,1900,1984,RU:,\It,,"Also(B,W,D)"
1516,Luca DeFilippo,1990,Passarelli,Luca,M,,199x,RU:,\It,,"Chi(Eduardo deFillippo) Er(Chi, Si)"
1517,Peppino DeFillippo,1950,Passarelli,Peppino,M,,199x,R:comic,\It,,Si(Eduardo DeFilippo)
1518,Willem Defoe,,,,M,[1],199x,RU:,\Un,,|
1519,Don Defore,1942-1961,Defore,Don,M,1917,199x,R:hearty westerner,\Am,,
1520,Louis deFunes,1956-1980,de Fun\`es,Louis,M,1908,1983,R:choleric comedian,\Fr,,
1521,Pia Degermark,1967-1971,Degermark,Pia,F,1949,199x,R:lead,\Sw,,
1522,Nicholas DeGunzberg,1932,West,Julian,M,,199x,R:sr,\Da nish,,
1523,,,|,,,,,,,,
1524,Olivia deHavilland,1935-1982,de Havilland,Olivia,F,1916,R:\UN,romantic,\Br,"[4.266,424,1059]",Si(Joan Fontaine)
1525,John Dehner,1945-1977,Forkum,John,M,1915,199x,"R:sympathetic smart alec, dastardly villain",,,|
1526,Albert Dekker,1937-1969,Dekker,Albert,M,1905,1968,RU:,\Am-\Du,,
1527,Frank deKova,,,,M,[1],199x,RU:,\Un,,|
1528,Marguerite DeLaMotte,1920-1942,De La Motte,Marguerite,F,1903,1950,R:lead,\Am,,
1529,Suzy Delair,1947-1966,Delair,Suzy,F,1916,199x,"R:voluptuous, vivacious",\Fr,,
1530,Cyril Delevanti,1964-1973,Delevanti,Cyril,M,1887,1975,R:aged gentlemen,\Br,,
1531,Alain Delon,1959-1980,Delon,Alain,M,1935,199x,R:romantic,\Fr,[4.46],
1532,Daniele Delorme,1948-1977,Girard,Gabrielle,F,1926,199x,R:lead,\Fr,,
1533,Carla DelPoggio,1950,DelPoggio,Carla,F,,199x,RU:,\It,,Mt(Alberta Lattuuada; D?)
1534,Julie Delpy,1988-1989,Delpy,Julie,F,1969,199x,RU:,\Fr,,
1535,Dolores delRio,1925-1967,Asunsolo,Dolores,F,1905,1983,R:aristocratic,\Me,[4.356],
1536,Dom DeLuise,1965-1983,De Luise,Dom,M,1933,199x,R:rotund,\Am,,Ww(Mel Brooks)
1537,Robert Deman,,,,M,[1],199x,RU:,\Un,,|
1538,William Demarest,1927-1968,Demarest,William,M,1892,1983,R:character,\Am,,
1539,Derrick deMarney,1935-1966,de Marney,Derrick,M,1906,1978,R:good-looking,\Br,,
1540,Terrence deMarney,1936-1969,de Marney,Terrence,M,1909,1971,RU:,\Br,,Si(Derrick deMarney)
1541,Maria deMadeiros,1990,deMadeiros,Maria,F,,199x,R:gentle,\Pg,,Nt()
1542,Cecil B. DeMille,,De Mille,Cecil,M,1881,1959,RU:,\Am,,"Nt(P,D)"
1543,Katherine DeMille,1934-1950,Lester,Katherine,F,1911,199x,R:lead,\Am,,
1544,Mylene Demongeot,1954-1977,Demongeot,Mylene,F,1936,199x,"R:sex symbol, blonde",\Fr,,
1545,Rebecca deMorney,,,,F,[1],199x,RU:,\Un,,|
1546,Carol Dempster,1919-1926,Dempster,Carol,F,1901,199x,R:lead,\Am,,
1547,Judi Dench,1964-1983,Dench,Judi,F,1934,199x,RU:,\Br,,
1548,Catherine Deneuve,1957-1983,Dorleac,Catherine,F,1943,199x,"R:cool, dangerous beauty",\Fr,,"Si(Francoise Dorleac) Mt(David Bailey,) Lw(Roger Vadim, Marcello Mastroianni) Pa(Christian Vadim, Chiara Mastroianni)"
1549,Maurice Denham,1948-1977,Denham,Maurice,M,1909,199x,R:character,\Br,,
1550,Robert deNiro,1968-1983,de Niro,Robert,M,1943,199x,R:lead,\Am,"[4.690][4.116,165]",
1551,Michael Denison,1940-1961,Denison,Michael,M,1915,199x,R:firm gentle mannered,\Br,,Mt(Dulcie Gray)
1552,Brian Dennehy,1977-1979,Dennehy,Brian,M,1940,199x,R:heavily built,\Am,,
1553,Charles Denner,1962-1980,Denner,Charles,M,1926,199x,R:lead,\Fr,[4.16],
1554,Richard Denning,1937-1979,Denninger,Louis A.,M,1914,199x,R:manly romantic,\Am,,
1555,Sandy Dennis,1961-1989,Dennis,Sandra Dale,F,1937,1992,"R:uncoordinated, blowsy ingenue",,,"Lw(Gerry Mulligan; M, Eric Roberts)"
1556,Raymond Denny,,,,M,[1],199x,RU:,\Un,,|
1557,Reginald Denny,1920-1966,Daymore,Reginald Leigh,M,1891,1967,R:amiable stiff-upper-lip Britisher,\Br,,
1558,Bob Denver,1963-1973,Denver,Bob,M,1935,199x,R:comedian,\Am,,Nt(James Bond in Pink Panther<>)
1559,Rossy dePalma,,,,,[1],199x,RU:,\Un,,|
1560,Elisabeth Depardieu,,,,F,[1],199x,RU:,\Un,,|
1561,Gerard Depardieu,1971-1989,Depardieu,G\'erard,M,1948,199x,R:bearish peasant,\Fr,,
1562,Frederic dePasquale,,,,M,[1],199x,RU:,\Un,,|
1563,Jonny Depp,1986-1990,Depp,Johnny,M,1963,199x,R:charming juvenile delinquent,\Am,,"Lw(Jennifer Grey, Sherilyn Fenn, Winona Ryder, Kate Moss)"
1564,Lya dePutti,1925-1929,de Putti,Lya,F,1901,1932,R:lead,\Hu,,
1565,Emilie Dequenne,1999,Dequenne,Emilie,F,1971,19xx,R:stolid,\Be lgium,,|
1566,Bo Derek,1977-1981,Collins,Mary Cathleen,F,1957,199x,R:pin-up,\Am,,Mt(John Derek)
1567,John Derek,1945-1981,Harris,Derek,M,1926,199x,R:light lead,\Am,,"Mt(Bo Derek) Also(D,C)"
1568,Bruce Dern,1960-1982,Dern,Bruce,M,1936,199x,R:tough guy or psychotic,\Am,,Ww(Hitchcock)
1569,Laura Dern,1986-1993,Dern,Laura,F,1967,199x,RU:,\Un,Ch(Bruce Dern),|
1570,Richard Derr,1942-1975,Derr,Richard,M,1917,199x,R:lead,\Am,,
1571,Cleavant Derricks,,,,,[1],199x,RU:,\Un,,|
1572,Jean Desailly,1942-1980,Desailly,Jean,M,1920,199x,R:lead,\Fr,,
1573,Anne DeSalvo,,,,F,[1],199x,RU:,\Un,,|
1574,Joe DeSantis,,,,M,[1],199x,RU:,\Un,,|
1575,Vittorio DeSica,1941-1973,DeSica,Vittorio,M,1901,1974,R:skillful realist,\Am,,
1576,Ivan Desny,1950-1980,Desny,Ivan,M,1922,199x,R:lead,,,Er(org Continental)
1577,Edward DeSouza,1961-1963,DeSouza,Edward,M,1933,199x,R:lead,\Br,,
1578,Ed DeStefane,,,,M,[1],199x,RU:,\Un,,|
1579,Maruschka Detmers,1992,bn,gn,F,,199x,R:haunting,\Du tch,,
1580,Ernst Deutsch,1916-1983,Deutsch,Ernst,M,1890,1969,R:character,\Ge,,
1581,William Devane,1976,,,M,[1],199x,RU:,\Un,,Ww(Hitchcock)
